variant,dist,tp,sl,atr_mult,time_stop,ma,breakeven,trades,win_rate,profit_factor,expectancy_per_trade,avg_win,avg_loss,max_drawdown,sharpe_like,sortino_like,time_in_market,trades_per_year,total_pnl
base,0.03,0.08,0.06,1.5,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,1.5,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.06,2.0,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,1.5,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.08,2.0,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,1.5,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.08,0.1,2.0,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,1.5,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.06,2.0,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,1.5,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.08,2.0,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,30,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,30,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,30,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,30,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,30,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,30,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,45,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,45,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,45,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,45,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,45,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,1.5,45,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,2.0,20,180,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,2.0,20,180,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,2.0,20,200,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,2.0,20,200,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,2.0,20,220,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
base,0.03,0.1,0.1,2.0,20,220,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
